,,Fall 2025,Fall 2025,Fall 2025,Fall 2025,Fall 2025,Fall 2025,Fall 2025,Fall 2025,Fall 2025,Fall 2025,Fall 2025,Fall 2025,Fall 2025,Fall 2025,Fall 2025,Fall 2025,Fall 2025,Fall 2025,Fall 2025,Fall 2025,Fall 2025,Fall 2025,Fall 2025,Fall 2025,Fall 2025
,Delayed Interaction (Internet Based),,,,,,"12,494","10,678","8,771",85.47%,70.20%,"12,482","10,668","8,764",85.47%,70.21%,"11,319","9,721","7,988",85.88%,70.57%,"3,187","2,719","2,305",85.32%,72.33%
,Non Distance Education Methods,2,2,2,100.00%,100.00%,"16,462","14,560","12,331",88.45%,74.91%,"16,277","14,376","12,149",88.32%,74.64%,"14,571","12,869","10,836",88.32%,74.37%,"3,500","3,230","2,874",92.29%,82.11%
,Simultaneous Interaction (Internet Based),1,0,0,0.00%,0.00%,906,758,628,83.66%,69.32%,905,758,628,83.76%,69.39%,767,640,530,83.44%,69.10%,373,320,252,85.79%,67.56%
Canada Total,,130,125,79,96.15%,60.77%,"12,631","11,423","9,695",90.44%,76.76%,"11,809","10,701","9,143",90.62%,77.42%,"11,661","10,576","9,038",90.70%,77.51%,"3,665","3,330","2,877",90.86%,78.50%
,Delayed Interaction (Internet Based),22,22,19,100.00%,86.36%,"2,110","1,888","1,625",89.48%,77.01%,"2,088","1,866","1,606",89.37%,76.92%,"2,015","1,799","1,548",89.28%,76.82%,458,405,346,88.43%,75.55%
,Non Distance Education Methods,108,103,60,95.37%,55.56%,"10,521","9,535","8,070",90.63%,76.70%,"9,721","8,835","7,537",90.89%,77.53%,"9,646","8,777","7,490",90.99%,77.65%,"3,207","2,925","2,531",91.21%,78.92%
Canyons Total,,26,26,26,100.00%,100.00%,"40,155","36,882","32,042",91.85%,79.80%,"40,029","36,759","31,919",91.83%,79.74%,"38,285","35,036","30,247",91.51%,79.00%,"12,769","11,916","10,848",93.32%,84.96%
,Delayed Interaction (Internet Based),,,,,,"19,785","18,063","15,320",91.30%,77.43%,"19,785","18,063","15,320",91.30%,77.43%,"19,679","17,960","15,231",91.26%,77.40%,"5,971","5,455","4,785",91.36%,80.14%
,Non Distance Education Methods,26,26,26,100.00%,100.00%,"17,725","16,446","14,674",92.78%,82.79%,"17,599","16,323","14,551",92.75%,82.68%,"16,092","14,825","13,072",92.13%,81.23%,"5,532","5,292","5,047",95.66%,91.23%
,Simultaneous Interaction (Internet Based),,,,,,"2,645","2,373","2,048",89.72%,77.43%,"2,645","2,373","2,048",89.72%,77.43%,"2,514","2,251","1,944",89.54%,77.33%,"1,266","1,169","1,016",92.34%,80.25%
Cerritos Total,,75,60,49,80.00%,65.33%,"59,819","51,196","42,494",85.58%,71.04%,"59,610","51,023","42,346",85.59%,71.04%,"58,429","50,014","41,427",85.60%,70.90%,"18,586","16,306","14,609",87.73%,78.60%
,Delayed Interaction (Internet Based),75,60,49,80.00%,65.33%,"34,846","29,525","24,286",84.73%,69.70%,"34,722","29,425","24,200",84.74%,69.70%,"34,165","28,937","23,752",84.70%,69.52%,"11,263","9,679","8,553",85.94%,75.94%
,Non Distance Education Methods,,,,,,"23,982","20,782","17,387",86.66%,72.50%,"23,897","20,709","17,325",86.66%,72.50%,"23,402","20,303","16,962",86.76%,72.48%,"6,525","5,901","5,366",90.44%,82.24%
,Simultaneous Interaction (Internet Based),,,,,,991,889,821,89.71%,82.85%,991,889,821,89.71%,82.85%,862,774,713,89.79%,82.71%,798,726,690,90.98%,86.47%
Cerro Coso Total,,,,,,,"13,476","12,392","10,718",91.96%,79.53%,"13,230","12,155","10,493",91.87%,79.31%,"11,674","10,630","9,030",91.06%,77.35%,"6,409","5,979","5,222",93.29%,81.48%
,Delayed Interaction (Internet Based),,,,,,"7,167","6,369","5,261",88.87%,73.41%,"7,096","6,304","5,205",88.84%,73.35%,"6,766","5,999","4,952",88.66%,73.19%,"3,599","3,247","2,623",90.22%,72.88%
,Non Distance Education Methods,,,,,,"5,875","5,614","5,088",95.56%,86.60%,"5,700","5,442","4,919",95.47%,86.30%,"4,474","4,222","3,709",94.37%,82.90%,"2,527","2,458","2,343",97.27%,92.72%
,Simultaneous Interaction (Internet Based),,,,,,434,409,369,94.24%,85.02%,434,409,369,94.24%,85.02%,434,409,369,94.24%,85.02%,283,274,256,96.82%,90.46%
Chabot Hayward Total,,227,210,174,92.51%,76.65%,"32,532","28,764","24,328",88.42%,74.78%,"32,228","28,479","24,080",88.37%,74.72%,"32,139","28,398","24,005",88.36%,74.69%,"11,682","10,367","9,033",88.74%,77.32%
,Delayed Interaction (Internet Based),4,4,3,100.00%,75.00%,"16,506","14,424","12,005",87.39%,72.73%,"16,453","14,373","11,956",87.36%,72.67%,"16,453","14,373","11,956",87.36%,72.67%,"6,032","5,215","4,422",86.46%,73.31%
,Non Distance Education Methods,223,206,171,92.38%,76.68%,"16,026","14,340","12,323",89.48%,76.89%,"15,775","14,106","12,124",89.42%,76.86%,"15,686","14,025","12,049",89.41%,76.81%,"5,650","5,152","4,611",91.19%,81.61%
Chaffey Total,,,,,,,"64,020","59,944","47,545",93.63%,74.27%,"63,065","59,101","47,040",93.71%,74.59%,"59,008","55,234","43,692",93.60%,74.04%,"17,666","16,741","14,053",94.76%,79.55%
,Delayed Interaction (Internet Based),,,,,,"42,898","40,080","31,641",93.43%,73.76%,"42,757","39,955","31,579",93.45%,73.86%,"40,285","37,622","29,600",93.39%,73.48%,"12,509","11,763","9,685",94.04%,77.42%
,Non Distance Education Methods,,,,,,"21,067","19,813","15,864",94.05%,75.30%,"20,253","19,095","15,421",94.28%,76.14%,"18,723","17,612","14,092",94.07%,75.27%,"5,102","4,927","4,328",96.57%,84.83%
,Simultaneous Interaction (Internet Based),,,,,,55,51,40,92.73%,72.73%,55,51,40,92.73%,72.73%,,,,,,55,51,40,92.73%,72.73%
Citrus Total,,637,596,461,93.56%,72.37%,"28,015","26,331","21,830",93.99%,77.92%,"27,301","25,660","21,298",93.99%,78.01%,"25,588","24,031","19,835",93.92%,77.52%,"6,372","6,048","5,241",94.92%,82.25%
,Delayed Interaction (Internet Based),277,260,209,93.86%,75.45%,"12,743","11,835","9,359",92.87%,73.44%,"12,466","11,575","9,150",92.85%,73.40%,"12,170","11,307","8,927",92.91%,73.35%,"2,352","2,185","1,756",92.90%,74.66%
,Non Distance Education Methods,331,308,235,93.05%,71.00%,"14,555","13,828","11,897",95.01%,81.74%,"14,147","13,445","11,591",95.04%,81.93%,"12,883","12,233","10,479",94.95%,81.34%,"3,699","3,561","3,216",96.27%,86.94%
,Simultaneous Interaction (Internet Based),29,28,17,96.55%,58.62%,717,668,574,93.17%,80.06%,688,640,557,93.02%,80.96%,535,491,429,91.78%,80.19%,321,302,269,94.08%,83.80%
Clovis Total,,130,109,78,83.85%,60.00%,"23,397","22,000","17,787",94.03%,76.02%,"23,267","21,891","17,709",94.09%,76.11%,"23,168","21,805","17,640",94.12%,76.14%,"4,581","4,348","3,584",94.91%,78.24%
,Delayed Interaction (Internet Based),53,40,29,75.47%,54.72%,"11,934","11,209","9,166",93.92%,76.81%,"11,881","11,169","9,137",94.01%,76.90%,"11,826","11,125","9,101",94.07%,76.96%,"3,023","2,866","2,382",94.81%,78.80%
,Non Distance Education Methods,77,69,49,89.61%,63.64%,"11,291","10,627","8,482",94.12%,75.12%,"11,214","10,558","8,433",94.15%,75.20%,"11,170","10,516","8,400",94.15%,75.20%,"1,532","1,456","1,176",95.04%,76.76%
,Simultaneous Interaction (Internet Based),,,,,,172,164,139,95.35%,80.81%,172,164,139,95.35%,80.81%,172,164,139,95.35%,80.81%,26,26,26,100.00%,100.00%
Coalinga College Total,,23,22,21,95.65%,91.30%,"8,787","8,259","7,130",93.99%,81.14%,"8,749","8,223","7,095",93.99%,81.09%,"8,373","7,864","6,793",93.92%,81.13%,"2,403","2,285","1,978",95.09%,82.31%
,Delayed Interaction (Internet Based),,,,,,"5,464","5,138","4,328",94.03%,79.21%,"5,464","5,138","4,328",94.03%,79.21%,"5,277","4,958","4,178",93.95%,79.17%,"1,766","1,683","1,435",95.30%,81.26%
,Non Distance Education Methods,23,22,21,95.65%,91.30%,"3,323","3,121","2,802",93.92%,84.32%,"3,285","3,085","2,767",93.91%,84.23%,"3,096","2,906","2,615",93.86%,84.46%,637,602,543,94.51%,85.24%
Coastline Total,,119,115,99,96.64%,83.19%,"17,656","15,679","13,307",88.80%,75.37%,"17,304","15,349","13,043",88.70%,75.38%,"17,304","15,349","13,043",88.70%,75.38%,"4,376","3,842","3,300",87.80%,75.41%
,Delayed Interaction (Internet Based),28,26,20,92.86%,71.43%,"11,891","10,548","9,134",88.71%,76.81%,"11,630","10,307","8,949",88.62%,76.95%,"11,630","10,307","8,949",88.62%,76.95%,"3,008","2,637","2,340",87.67%,77.79%
,Non Distance Education Methods,45,44,42,97.78%,93.33%,788,736,700,93.40%,88.83%,743,692,658,93.14%,88.56%,743,692,658,93.14%,88.56%,179,170,165,94.97%,92.18%
,Simultaneous Interaction (Internet Based),46,45,37,97.83%,80.43%,533,491,434,92.12%,81.43%,487,446,397,91.58%,81.52%,487,446,397,91.58%,81.52%,230,216,193,93.91%,83.91%
,"Video one-way (e.g. ITV, video cassette, etc.)",,,,,,"4,444","3,904","3,039",87.85%,68.38%,"4,444","3,904","3,039",87.85%,68.38%,"4,444","3,904","3,039",87.85%,68.38%,959,819,602,85.40%,62.77%
Columbia Total,,14,11,11,78.57%,78.57%,"7,971","7,087","6,154",88.91%,77.20%,"7,957","7,076","6,143",88.93%,77.20%,"6,676","5,899","5,054",88.36%,75.70%,"2,924","2,672","2,409",91.38%,82.39%
,Delayed Interaction (Internet Based),,,,,,"3,835","3,323","2,787",86.65%,72.67%,"3,835","3,323","2,787",86.65%,72.67%,"3,784","3,281","2,761",86.71%,72.97%,957,849,717,88.71%,74.92%
,Non Distance Education Methods,14,11,11,78.57%,78.57%,"4,036","3,672","3,289",90.98%,81.49%,"4,022","3,661","3,278",91.02%,81.50%,"2,792","2,526","2,215",90.47%,79.33%,"1,967","1,823","1,692",92.68%,86.02%
,Simultaneous Interaction (Internet Based),,,,,,100,92,78,92.00%,78.00%,100,92,78,92.00%,78.00%,100,92,78,92.00%,78.00%,,,,,
Compton Total,,33,22,22,66.67%,66.67%,"11,839","10,278","8,699",86.81%,73.48%,"11,777","10,242","8,667",86.97%,73.59%,"11,753","10,220","8,655",86.96%,73.64%,"3,111","2,791","2,493",89.71%,80.14%
,Delayed Interaction (Internet Based),,,,,,"4,716","3,837","2,977",81.36%,63.13%,"4,687","3,823","2,967",81.57%,63.30%,"4,687","3,823","2,967",81.57%,63.30%,789,647,526,82.00%,66.67%
,Non Distance Education Methods,33,22,22,66.67%,66.67%,"6,718","6,099","5,420",90.79%,80.68%,"6,685","6,077","5,398",90.91%,80.75%,"6,661","6,055","5,386",90.90%,80.86%,"2,310","2,137","1,960",92.51%,84.85%
,Simultaneous Interaction (Internet Based),,,,,,405,342,302,84.44%,74.57%,405,342,302,84.44%,74.57%,405,342,302,84.44%,74.57%,12,7,7,58.33%,58.33%
Contra Costa Total,,110,99,83,90.00%,75.45%,"16,839","15,083","12,539",89.57%,74.46%,"16,650","14,909","12,422",89.54%,74.61%,"15,660","14,016","11,663",89.50%,74.48%,"3,999","3,676","3,156",91.92%,78.92%
,Delayed Interaction (Internet Based),,,,,,"7,624","6,722","5,522",88.17%,72.43%,"7,624","6,722","5,522",88.17%,72.43%,"7,473","6,597","5,419",88.28%,72.51%,"2,664","2,421","2,028",90.88%,76.13%
,Non Distance Education Methods,62,55,45,88.71%,72.58%,"7,813","7,103","5,982",90.91%,76.56%,"7,678","6,979","5,909",90.90%,76.96%,"6,890","6,258","5,291",90.83%,76.79%,"1,131","1,062",957,93.90%,84.62%
,Simultaneous Interaction (Internet Based),48,44,38,91.67%,79.17%,"1,402","1,258","1,035",89.73%,73.82%,"1,348","1,208",991,89.61%,73.52%,"1,297","1,161",953,89.51%,73.48%,204,193,171,94.61%,83.82%
Copper Mountain College Total,,,,,,,"4,522","4,154","3,550",91.86%,78.51%,"4,439","4,082","3,479",91.96%,78.37%,"4,242","3,908","3,331",92.13%,78.52%,"1,018",918,807,90.18%,79.27%
,Delayed Interaction (Internet Based),,,,,,"2,930","2,673","2,240",91.23%,76.45%,"2,917","2,663","2,231",91.29%,76.48%,"2,884","2,634","2,203",91.33%,76.39%,496,439,372,88.51%,75.00%
,Non Distance Education Methods,,,,,,"1,592","1,481","1,310",93.03%,82.29%,"1,522","1,419","1,248",93.23%,82.00%,"1,358","1,274","1,128",93.81%,83.06%,522,479,435,91.76%,83.33%
Cosumnes River Total,,768,693,618,90.23%,80.47%,"41,394","36,385","30,959",87.90%,74.79%,"39,961","35,272","30,086",88.27%,75.29%,"36,760","32,378","27,558",88.08%,74.97%,"12,560","11,399","9,915",90.76%,78.94%
,Delayed Interaction (Internet Based),52,46,35,88.46%,67.31%,"24,029","21,601","18,582",89.90%,77.33%,"23,972","21,550","18,542",89.90%,77.35%,"22,125","19,859","17,050",89.76%,77.06%,"9,713","8,820","7,689",90.81%,79.16%
,Non Distance Education Methods,695,629,568,90.50%,81.73%,"15,521","13,178","10,984",84.90%,70.77%,"14,166","12,134","10,166",85.66%,71.76%,"13,013","11,108","9,293",85.36%,71.41%,"2,478","2,249","1,949",90.76%,78.65%
,Simultaneous Interaction (Internet Based),21,18,15,85.71%,71.43%,"1,844","1,606","1,393",87.09%,75.54%,"1,823","1,588","1,378",87.11%,75.59%,"1,622","1,411","1,215",86.99%,74.91%,369,330,277,89.43%,75.07%
Crafton Hills Total,,248,222,168,89.52%,67.74%,"18,846","17,553","14,572",93.14%,77.32%,"18,419","17,152","14,229",93.12%,77.25%,"16,508","15,342","12,768",92.94%,77.34%,"5,357","5,033","4,197",93.95%,78.35%
,Delayed Interaction (Internet Based),,,,,,"7,973","7,366","6,018",92.39%,75.48%,"7,973","7,366","6,018",92.39%,75.48%,"6,830","6,290","5,172",92.09%,75.72%,"2,937","2,699","2,161",91.90%,73.58%
,Non Distance Education Methods,248,222,168,89.52%,67.74%,"10,578","9,932","8,367",93.89%,79.10%,"10,151","9,531","8,024",93.89%,79.05%,"9,383","8,797","7,409",93.75%,78.96%,"2,370","2,293","2,012",96.75%,84.89%
,Simultaneous Interaction (Internet Based),,,,,,215,185,136,86.05%,63.26%,215,185,136,86.05%,63.26%,215,185,136,86.05%,63.26%,50,41,24,82.00%,48.00%
,Two-way interactive video and audio,,,,,,80,70,51,87.50%,63.75%,80,70,51,87.50%,63.75%,80,70,51,87.50%,63.75%,,,,,
Cuesta Total,,,,,,,"23,333","20,899","17,794",89.57%,76.26%,"23,195","20,780","17,682",89.59%,76.23%,"21,794","19,430","16,443",89.15%,75.45%,"8,110","7,490","6,562",92.36%,80.91%
,Delayed Interaction (Internet Based),,,,,,"10,835","9,593","8,016",88.54%,73.98%,"10,835","9,593","8,016",88.54%,73.98%,"10,705","9,480","7,922",88.56%,74.00%,"3,536","3,205","2,699",90.64%,76.33%
,Non Distance Education Methods,,,,,,"11,935","10,811","9,343",90.58%,78.28%,"11,804","10,699","9,238",90.64%,78.26%,"10,533","9,462","8,093",89.83%,76.83%,"4,239","3,992","3,608",94.17%,85.11%
,Simultaneous Interaction (Internet Based),,,,,,563,495,435,87.92%,77.26%,556,488,428,87.77%,76.98%,556,488,428,87.77%,76.98%,335,293,255,87.46%,76.12%
Cuyamaca Total,,"1,295","1,166","1,032",90.04%,79.69%,"20,668","18,880","16,516",91.35%,79.91%,"19,285","17,633","15,407",91.43%,79.89%,"18,815","17,172","14,996",91.27%,79.70%,"5,159","4,774","4,184",92.54%,81.10%
,Delayed Interaction (Internet Based),241,211,184,87.55%,76.35%,"11,739","10,673","9,317",90.92%,79.37%,"11,492","10,456","9,128",90.99%,79.43%,"11,152","10,122","8,830",90.76%,79.18%,"3,122","2,842","2,447",91.03%,78.38%
,Non Distance Education Methods,"1,054",955,848,90.61%,80.46%,"8,929","8,207","7,199",91.91%,80.62%,"7,793","7,177","6,279",92.10%,80.57%,"7,663","7,050","6,166",92.00%,80.46%,"2,037","1,932","1,737",94.85%,85.27%
Cypress Total,,698,529,374,75.79%,53.58%,"45,255","39,684","33,199",87.69%,73.36%,"44,287","38,961","32,685",87.97%,73.80%,"43,504","38,333","32,159",88.11%,73.92%,"13,964","12,565","11,090",89.98%,79.42%
,Delayed Interaction (Internet Based),27,19,18,70.37%,66.67%,"16,834","14,704","12,220",87.35%,72.59%,"16,782","14,662","12,183",87.37%,72.60%,"16,765","14,645","12,167",87.35%,72.57%,"5,450","4,793","4,170",87.94%,76.51%
,Non Distance Education Methods,664,503,349,75.75%,52.56%,"26,390","23,138","19,387",87.68%,73.46%,"25,481","22,464","18,917",88.16%,74.24%,"24,791","21,926","18,474",88.44%,74.52%,"7,396","6,755","6,003",91.33%,81.17%
,Simultaneous Interaction (Internet Based),7,7,7,100.00%,100.00%,"2,031","1,842","1,592",90.69%,78.39%,"2,024","1,835","1,585",90.66%,78.31%,"1,948","1,762","1,518",90.45%,77.93%,"1,118","1,017",917,90.97%,82.02%
Deanza Total,,"1,459","1,369","1,148",93.83%,78.68%,"44,204","40,923","35,446",92.58%,80.19%,"42,448","39,258","34,003",92.48%,80.11%,"42,022","38,856","33,632",92.47%,80.03%,"10,893","10,053","8,817",92.29%,80.94%
,Delayed Interaction (Internet Based),869,807,649,92.87%,74.68%,"22,985","21,129","17,957",91.93%,78.12%,"22,116","20,322","17,308",91.89%,78.26%,"21,913","20,130","17,135",91.86%,78.20%,"5,528","5,014","4,273",90.70%,77.30%
,Non Distance Education Methods,532,505,447,94.92%,84.02%,"16,893","15,761","13,928",93.30%,82.45%,"16,064","14,960","13,186",93.13%,82.08%,"15,898","14,803","13,040",93.11%,82.02%,"3,441","3,252","2,952",94.51%,85.79%
,Simultaneous Interaction (Internet Based),58,57,52,98.28%,89.66%,"4,326","4,033","3,561",93.23%,82.32%,"4,268","3,976","3,509",93.16%,82.22%,"4,211","3,923","3,457",93.16%,82.09%,"1,924","1,787","1,592",92.88%,82.74%
Desert Total,,54,50,36,92.59%,66.67%,"36,195","33,225","27,203",91.79%,75.16%,"36,065","33,104","27,097",91.79%,75.13%,"32,861","30,090","24,321",91.57%,74.01%,"13,596","12,569","10,575",92.45%,77.78%
,Delayed Interaction (Internet Based),47,43,29,91.49%,61.70%,"18,757","17,145","13,632",91.41%,72.68%,"18,710","17,102","13,603",91.41%,72.70%,"18,255","16,702","13,258",91.49%,72.63%,"6,316","5,717","4,606",90.52%,72.93%
,Non Distance Education Methods,7,7,7,100.00%,100.00%,"17,438","16,080","13,571",92.21%,77.82%,"17,355","16,002","13,494",92.20%,77.75%,"14,606","13,388","11,063",91.66%,75.74%,"7,280","6,852","5,969",94.12%,81.99%
Diablo Valley Total,,259,238,209,91.89%,80.69%,"47,231","41,777","36,266",88.45%,76.78%,"46,754","41,369","35,909",88.48%,76.80%,"46,611","41,233","35,784",88.46%,76.77%,"12,700","11,533","10,167",90.81%,80.06%
,Delayed Interaction (Internet Based),179,168,147,93.85%,82.12%,"21,091","18,661","16,063",88.48%,76.16%,"20,912","18,493","15,916",88.43%,76.11%,"20,901","18,484","15,913",88.44%,76.14%,"7,418","6,679","5,804",90.04%,78.24%
,Non Distance Education Methods,80,70,62,87.50%,77.50%,"24,681","21,874","19,170",88.63%,77.67%,"24,401","21,644","18,970",88.70%,77.74%,"24,269","21,517","18,848",88.66%,77.66%,"4,719","4,357","3,923",92.33%,83.13%
,Simultaneous Interaction (Internet Based),,,,,,"1,459","1,242","1,033",85.13%,70.80%,"1,441","1,232","1,023",85.50%,70.99%,"1,441","1,232","1,023",85.50%,70.99%,563,497,440,88.28%,78.15%
